Country,Region
Germany,Western Europe
Denmark,Northern Europe
France,Western Europe
Italy,Southern Europe
Switzerland,Western Europe
Norway,Northern Europe
Netherlands,Western Europe
Slovakia,Eastern Europe
Belgium,Western Europe
Romania,Eastern Europe
Poland,Eastern Europe
Sweden,Northern Europe
Finland,Northern Europe
Portugal,Southern Europe
United Kingdom,Western Europe
Spain,Southern Europe
Czech Republic,Eastern Europe
Latvia,Eastern Europe
Estonia,Eastern Europe
Austria,Western Europe
Lithuania,Eastern Europe
