"city","population","country","lat","lng"
"Moscow",10381222,"Russia",55.7522,37.6156
"London",8961989,"United Kingdom",51.5085,-0.12574
"Saint Petersburg",5028000,"Russia",59.9386,30.3141
"Berlin",3426354,"Germany",52.5244,13.4105
"Madrid",3255944,"Spain",40.4165,-3.70256
"Kyiv",2797553,"Ukraine",50.4547,30.5238
"Rome",2318895,"Italy",41.8919,12.5113
"Paris",2138551,"France",48.8534,2.3488
"Bucharest",1877155,"Romania",44.4323,26.1063
"Minsk",1742124,"Belarus",53.9,27.5667
"Budapest",1741041,"Hungary",47.4983,19.0404
"Hamburg",1739117,"Germany",53.5507,9.99302
"Warsaw",1702139,"Poland",52.2298,21.0118
"Vienna",1691468,"Austria",48.2085,16.3721
"Barcelona",1621537,"Spain",41.3888,2.15899
"Stockholm",1515017,"Sweden",59.3294,18.0687
"Kharkiv",1430885,"Ukraine",49.9808,36.2527
"Novosibirsk",1419007,"Russia",55.0415,82.9346
"Yekaterinburg",1349772,"Russia",56.8519,60.6122
"Nizhniy Novgorod",1284164,"Russia",56.3287,44.002
"Belgrade",1273651,"Serbia",44.804,20.4651
"Munich",1260391,"Germany",48.1374,11.5755
"Milan",1236837,"Italy",45.4643,9.18951
"Prague",1165581,"Czech Republic",50.088,14.4208
"Copenhagen",1153615,"Denmark",55.6759,12.5655
"Sofia",1152556,"Bulgaria",42.6975,23.3242
"Samara",1134730,"Russia",53.2001,50.15
"Omsk",1129281,"Russia",54.9924,73.3686
"Kazan",1104738,"Russia",55.7887,49.1221
"Rostov-na-Donu",1074482,"Russia",47.2313,39.7233
"Chelyabinsk",1062919,"Russia",55.154,61.4291
"Ufa",1033338,"Russia",54.7431,55.9678
"Donetsk",1024700,"Ukraine",48.023,37.8022
"Dublin",1024027,"Ireland",53.3331,-6.24889
"Brussels",1019022,"Belgium",50.8504,4.34878
"Odessa",1013159,"Ukraine",46.4857,30.7438
"Volgograd",1011417,"Russia",48.7194,44.5018
"Dnipro",998103,"Ukraine",48.4666,35.0407
"Birmingham",984333,"United Kingdom",52.4814,-1.89983
"Perm",982419,"Russia",58.0105,56.2502
"Koeln",963395,"Germany",50.9333,6.95
"Naples",959470,"Italy",40.8522,14.2681
"Krasnoyarsk",927200,"Russia",56.0184,92.8672
"Turin",870456,"Italy",45.0705,7.68682
"Liverpool",864122,"United Kingdom",53.4106,-2.97794
"Saratov",863725,"Russia",51.5406,46.0086
"Voronezh",848752,"Russia",51.672,39.1843
"Valencia",814208,"Spain",39.4697,-0.37739
"Marseille",794811,"France",43.297,5.38107
"Lodz",768755,"Poland",51.7706,19.4739
"Krakow",755050,"Poland",50.0614,19.9366
"Riga",742572,"Latvia",56.946,24.1059
"Amsterdam",741636,"Netherlands",52.374,4.88969
"Zaporizhzhya",738728,"Ukraine",47.8517,35.1171
"Lviv",717803,"Ukraine",49.8383,24.0232
"Sevilla",703206,"Spain",37.3828,-5.97317
"Tolyatti",702879,"Russia",53.5303,49.3461
"Zagreb",698966,"Croatia",45.8144,15.978
"Sarajevo",696731,"Bosnia and Herzegovina",43.8486,18.3564
"Sheffield",685368,"United Kingdom",53.383,-1.4659
"Zaragoza",674317,"Spain",41.6561,-0.87734
"Athens",664046,"Greece",37.9838,23.7278
"Frankfurt am Main",650000,"Germany",50.1155,8.68417
"Krasnodar",649851,"Russia",45.0448,38.976
"Palermo",648260,"Italy",38.132,13.3356
"Ulyanovsk",640680,"Russia",54.3282,48.3866
"Chisinau",635994,"Moldova",47.0056,28.8575
"Wroclaw",634893,"Poland",51.1,17.0333
"Izhevsk",631038,"Russia",56.8498,53.2045
"Kryvyy Rih",624579,"Ukraine",47.9057,33.394
"Bristol",617280,"United Kingdom",51.4552,-2.59665
"Yaroslavl",606730,"Russia",57.6299,39.8737
"Barnaul",599579,"Russia",53.3606,83.7636
"Rotterdam",598199,"Netherlands",51.9225,4.47917
"Essen",593085,"Germany",51.4566,7.01228
